resume_id,resume_role,resume_text,job_id,job_role,job_text,label
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R1,SWE,"Software engineer with 2 years of experience in Java, Spring Boot, REST APIs, and MySQL. Built microservices and optimized backend performance.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R2,SWE,"Full-stack developer skilled in Python, Django, React, PostgreSQL, and Docker. Developed end-to-end web applications and deployed to AWS.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
