resume_id,resume_role,resume_text
Syn_R10,SWE,"Senior Software Engineer with 7 years experience, holding a B.S. in Computer Science. Expert in CI/CD, Go, Kubernetes. Optimized backend API latency by 40% handling 10k requests/sec.
SKILLS: Java, Kubernetes, CI/CD, C++, Go, AWS, Python, Docker, Microservices"
Syn_R29,DS,"Senior Data Scientist with 6 years experience, holding a B.S. in Computer Science. Expert in Statistical Modeling, R, Spark. Identified $50k in annual savings via supply chain analysis.
SKILLS: Spark, SQL, Pandas, A/B Testing, Statistical Modeling, Python, Snowflake"
Syn_R24,DS,"Senior Data Scientist with 5 years experience, holding a M.S. in Computer Science. Expert in A/B Testing, Spark, Pandas. Built pricing algorithm increasing margin by 5%.
SKILLS: Pandas, Snowflake, BigQuery, Python, R, Statistical Modeling, Spark, SQL"
Syn_R44,DA,"Senior Data Analyst with 2 years experience, holding a M.S. in Data Science. Expert in PowerBI, Python, dbt. Consolidated 5 data sources into single source of truth.
SKILLS: Tableau, PowerBI, dbt, Google Analytics, Looker, SQL, Python, Excel"
Syn_R21,ML,"Senior Machine Learning Engineer with 7 years experience, holding a M.S. in Computer Science. Expert in Python, TensorFlow, Generative AI. Fine-tuned LLaMA model reducing support tickets by 60%.
SKILLS: Scikit-learn, PyTorch, Hugging Face, CUDA, Generative AI, OpenCV, LLMs, TensorFlow"
Syn_R26,DS,"Senior Data Scientist with 4 years experience, holding a B.S. in Computer Science. Expert in A/B Testing, Statistical Modeling, Tableau. Designed churn model improving retention by 12%.
SKILLS: Spark, SQL, A/B Testing, Tableau, Python, R"
Syn_R34,FE,"Senior Frontend Developer with 9 years experience, holding a M.B.A.. Expert in Jest, CSS, Vue.js. Built design system adopted by 4 product teams.
SKILLS: TypeScript, Tailwind, Redux, CSS, HTML, Figma, Next.js, React, Jest"
Syn_R50,PM,"Senior Product Manager with 5 years experience, holding a M.S. in Artificial Intelligence. Expert in Jira, Roadmapping, User Research. Increased user retention by 20% through feature optimization.
SKILLS: Roadmapping, User Research, Scrum, Figma, A/B Testing, Jira"
Syn_R36,FE,"Senior Frontend Developer with 8 years experience, holding a B.S. in Electrical Engineering. Expert in HTML, React, Figma. Built design system adopted by 4 product teams.
SKILLS: Tailwind, HTML, React, TypeScript, Figma, Jest, Redux, CSS, Next.js"
Syn_R9,SWE,"Senior Software Engineer with 3 years experience, holding a M.S. in Artificial Intelligence. Expert in Kafka, Python, C++. Built payment system processing $1M+ daily volume.
SKILLS: Go, AWS, Kubernetes, C++, CI/CD, Kafka, Microservices"
Syn_R46,DA,"Senior Data Analyst with 3 years experience, holding a B.S. in Computer Science. Expert in PowerBI, Looker, Excel. Automated reporting saving 15 hours/week.
SKILLS: dbt, PowerBI, Google Analytics, Tableau, Looker, Excel, SQL, Python"
Syn_R42,DA,"Senior Data Analyst with 4 years experience, holding a B.S. in Electrical Engineering. Expert in Excel, PowerBI, dbt. Identified key trend leading to 10% revenue lift.
SKILLS: dbt, SQL, Looker, Google Analytics, PowerBI, Tableau"
Syn_R1,SWE,"Senior Software Engineer with 6 years experience, holding a M.S. in Artificial Intelligence. Expert in Docker, Python, Go. Optimized backend API latency by 40% handling 10k requests/sec.
SKILLS: Kafka, Kubernetes, Go, Python, C++, AWS"
Syn_R11,SWE,"Senior Software Engineer with 3 years experience, holding a B.S. in Computer Science. Expert in Kubernetes, AWS, Docker. Built payment system processing $1M+ daily volume.
SKILLS: Docker, C++, Microservices, Kubernetes, AWS, Python, Kafka, PostgreSQL, Redis, Java"
Syn_R3,SWE,"Senior Software Engineer with 6 years experience, holding a M.B.A.. Expert in PostgreSQL, Docker, C++. Led migration to AWS reducing infra costs by 20%.
SKILLS: Python, Go, Java, PostgreSQL, CI/CD, Microservices, C++, Kubernetes, AWS, Redis"
Syn_R30,DS,"Senior Data Scientist with 6 years experience, holding a B.S. in Electrical Engineering. Expert in R, Pandas, Snowflake. Identified $50k in annual savings via supply chain analysis.
SKILLS: R, SQL, Tableau, Pandas, Statistical Modeling, Snowflake, A/B Testing, BigQuery, Spark, Python"
Syn_R5,SWE,"Senior Software Engineer with 9 years experience, holding a M.S. in Data Science. Expert in PostgreSQL, Java, Redis. Built payment system processing $1M+ daily volume.
SKILLS: Kubernetes, CI/CD, Docker, Go, Microservices, Kafka, Redis"
Syn_R17,ML,"Senior Machine Learning Engineer with 2 years experience, holding a M.B.A.. Expert in CUDA, MLOps, Hugging Face. Fine-tuned LLaMA model reducing support tickets by 60%.
SKILLS: CUDA, MLOps, Scikit-learn, OpenCV, Python, Hugging Face, TensorFlow, LLMs"
Syn_R4,SWE,"Senior Software Engineer with 3 years experience, holding a M.S. in Artificial Intelligence. Expert in Microservices, AWS, Redis. Built payment system processing $1M+ daily volume.
SKILLS: Kafka, Redis, AWS, CI/CD, Microservices, Python, PostgreSQL"
Syn_R18,ML,"Senior Machine Learning Engineer with 3 years experience, holding a B.S. in Computer Science. Expert in OpenCV, MLOps, Scikit-learn. Improved defect detection accuracy by 25% via Computer Vision.
SKILLS: Scikit-learn, Generative AI, LLMs, PyTorch, OpenCV, Python, Hugging Face, TensorFlow, MLOps"
